"PassengerId","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked.S","Embarked.C"
986,-1.503,0.755,-0.372,-0.499,-0.4,-0.172,-1.349,1.758
987,0.872,0.755,-0.372,-0.499,-0.4,-0.498,0.739,-0.567
988,-1.503,-1.321,3.225,0.616,-0.4,0.773,0.739,-0.567
989,0.872,0.755,-0.09,-0.499,-0.4,-0.495,0.739,-0.567
990,0.872,-1.321,-0.724,-0.499,-0.4,-0.497,0.739,-0.567
991,0.872,0.755,0.192,-0.499,-0.4,-0.493,0.739,-0.567
992,-1.503,-1.321,0.897,0.616,-0.4,0.354,-1.349,1.758
993,-0.315,0.755,-0.231,0.616,-0.4,-0.172,0.739,-0.567
994,0.872,0.755,1.119,-0.499,-0.4,-0.499,-1.349,-0.567
995,0.872,0.755,-0.301,-0.499,-0.4,-0.498,0.739,-0.567
996,0.872,-1.321,-1.006,0.616,0.619,-0.485,-1.349,1.758
997,0.872,0.755,-0.16,-0.499,-0.4,-0.234,0.739,-0.567
998,0.872,0.755,-0.654,-0.499,-0.4,-0.497,-1.349,-0.567
999,0.872,0.755,-0.936,-0.499,-0.4,-0.499,-1.349,-0.567
1000,0.872,0.755,-0.135,-0.499,-0.4,-0.481,0.739,-0.567
1001,-0.315,0.755,-0.83,-0.499,-0.4,-0.405,0.739,-0.567
1002,-0.315,0.755,0.756,-0.499,-0.4,-0.368,-1.349,1.758
1003,0.872,-1.321,1.354,-0.499,-0.4,-0.498,-1.349,-0.567
1004,-1.503,-1.321,0.404,-0.499,-0.4,-0.071,-1.349,1.758
1005,0.872,-1.321,-0.83,-0.499,-0.4,-0.507,-1.349,-0.567
1006,-1.503,-1.321,2.308,0.616,-0.4,3.33,0.739,-0.567
1007,0.872,0.755,-0.865,0.616,-0.4,-0.379,-1.349,1.758
1008,0.872,0.755,0.755,-0.499,-0.4,-0.522,-1.349,1.758
1009,0.872,-1.321,-2.064,0.616,0.619,-0.339,0.739,-0.567
1010,-1.503,0.755,0.404,-0.499,-0.4,0.709,-1.349,1.758
1011,-0.315,-1.321,-0.09,0.616,-0.4,-0.172,0.739,-0.567
1012,-0.315,-1.321,-1.289,-0.499,-0.4,-0.356,0.739,-0.567
1013,0.872,0.755,-1.066,0.616,-0.4,-0.499,-1.349,-0.567
1014,-1.503,-1.321,0.333,0.616,-0.4,0.396,-1.349,1.758
1015,0.872,0.755,-0.16,-0.499,-0.4,-0.508,0.739,-0.567
1016,0.872,0.755,-1.398,-0.499,-0.4,-0.499,-1.349,-0.567
1017,0.872,-1.321,-0.936,-0.499,0.619,-0.349,0.739,-0.567
1018,0.872,0.755,-0.583,-0.499,-0.4,-0.498,0.739,-0.567
1019,0.872,-1.321,0.54,1.731,-0.4,-0.221,-1.349,-0.567
1020,-0.315,0.755,0.827,-0.499,-0.4,-0.405,0.739,-0.567
1021,0.872,0.755,-0.442,-0.499,-0.4,-0.493,0.739,-0.567
1022,0.872,0.755,0.122,-0.499,-0.4,-0.493,0.739,-0.567
1023,-1.503,0.755,1.603,-0.499,-0.4,-0.127,-1.349,1.758
1024,0.872,-1.321,-1.191,-0.499,3.676,-0.182,0.739,-0.567
1025,0.872,0.755,0.128,0.616,-0.4,-0.522,-1.349,1.758
1026,0.872,0.755,0.897,-0.499,-0.4,-0.496,0.739,-0.567
1027,0.872,0.755,-0.442,-0.499,-0.4,-0.497,0.739,-0.567
1028,0.872,0.755,-0.266,-0.499,-0.4,-0.508,-1.349,1.758
1029,-0.315,0.755,-0.301,-0.499,-0.4,-0.405,0.739,-0.567
1030,0.872,-1.321,-0.513,-0.499,-0.4,-0.493,0.739,-0.567
1031,0.872,0.755,0.686,0.616,5.714,0.202,0.739,-0.567
1032,0.872,-1.321,-1.43,5.077,1.638,0.202,0.739,-0.567
1033,-1.503,-1.321,0.192,-0.499,-0.4,2.073,0.739,-0.567
1034,-1.503,0.755,2.167,0.616,2.657,4.056,-1.349,1.758
1035,-0.315,0.755,-0.16,-0.499,-0.4,-0.172,0.739,-0.567
1036,-1.503,0.755,0.827,-0.499,-0.4,-0.162,0.739,-0.567
1037,0.872,0.755,0.051,2.847,-0.4,-0.315,0.739,-0.567
1038,-1.503,0.755,0.459,-0.499,-0.4,0.29,0.739,-0.567
1039,0.872,0.755,-0.583,-0.499,-0.4,-0.493,0.739,-0.567
1040,-1.503,0.755,-0.458,-0.499,-0.4,-0.162,0.739,-0.567
1041,-0.315,0.755,-0.019,0.616,0.619,-0.172,0.739,-0.567
1042,-1.503,-1.321,-0.513,-0.499,0.619,0.85,-1.349,1.758
1043,0.872,0.755,0.575,-0.499,-0.4,-0.496,-1.349,1.758
1044,0.872,0.755,2.132,-0.499,-0.4,-0.104,0.739,-0.567
1045,0.872,-1.321,0.404,-0.499,1.638,-0.419,0.739,-0.567
1046,0.872,0.755,-1.218,3.962,1.638,-0.076,0.739,-0.567
1047,0.872,0.755,-0.442,-0.499,-0.4,-0.502,0.739,-0.567
1048,-1.503,-1.321,-0.09,-0.499,-0.4,3.33,0.739,-0.567
1049,0.872,-1.321,-0.513,-0.499,-0.4,-0.497,0.739,-0.567
1050,-1.503,0.755,0.827,-0.499,-0.4,-0.162,0.739,-0.567
1051,0.872,-1.321,-0.301,-0.499,1.638,-0.391,0.739,-0.567
1052,0.872,-1.321,0.675,-0.499,-0.4,-0.499,-1.349,-0.567
1053,0.872,0.755,-1.641,0.616,0.619,-0.365,-1.349,1.758
1054,-0.315,-1.321,-0.301,-0.499,-0.4,-0.396,0.739,-0.567
1055,0.872,0.755,-1.201,-0.499,-0.4,-0.512,0.739,-0.567
1056,-0.315,0.755,0.756,-0.499,-0.4,-0.405,0.739,-0.567
1057,0.872,-1.321,-0.301,0.616,0.619,-0.243,0.739,-0.567
1058,-1.503,0.755,1.25,-0.499,-0.4,0.266,-1.349,1.758
1059,0.872,0.755,-0.865,1.731,1.638,-0.022,0.739,-0.567
1060,-1.503,-1.321,1.262,-0.499,-0.4,-0.141,-1.349,1.758
1061,0.872,-1.321,-0.583,-0.499,-0.4,-0.477,0.739,-0.567
1062,0.872,0.755,0.724,-0.499,-0.4,-0.502,0.739,-0.567
1063,0.872,0.755,-0.231,-0.499,-0.4,-0.508,-1.349,1.758
1064,0.872,0.755,-0.513,0.616,-0.4,-0.389,0.739,-0.567
1065,0.872,0.755,-1.857,-0.499,-0.4,-0.508,-1.349,1.758
1066,0.872,0.755,0.686,0.616,4.695,-0.076,0.739,-0.567
1067,-0.315,-1.321,-1.077,-0.499,1.638,0.06,0.739,-0.567
1068,-0.315,-1.321,-0.724,-0.499,-0.4,0.02,0.739,-0.567
1069,-1.503,0.755,1.673,0.616,-0.4,0.354,-1.349,1.758
1070,-0.315,-1.321,0.404,-0.499,2.657,0.06,0.739,-0.567
1071,-1.503,-1.321,2.378,-0.499,1.638,0.85,-1.349,1.758
1072,-0.315,0.755,-0.019,-0.499,-0.4,-0.405,0.739,-0.567
1073,-1.503,0.755,0.474,0.616,0.619,0.85,-1.349,1.758
1074,-1.503,-1.321,-0.865,0.616,-0.4,0.313,0.739,-0.567
1075,0.872,0.755,-1.36,-0.499,-0.4,-0.499,-1.349,-0.567
1076,-1.503,-1.321,-0.231,0.616,0.619,3.79,-1.349,1.758
1077,-0.315,0.755,0.686,-0.499,-0.4,-0.351,0.739,-0.567
1078,-0.315,-1.321,-0.654,-0.499,0.619,-0.262,0.739,-0.567
1079,0.872,0.755,-0.936,1.731,-0.4,-0.493,0.739,-0.567
1080,0.872,-1.321,-0.967,8.422,1.638,0.607,0.739,-0.567
1081,-0.315,0.755,0.686,-0.499,-0.4,-0.405,0.739,-0.567
1082,-0.315,0.755,0.263,0.616,-0.4,-0.172,0.739,-0.567
1083,-1.503,0.755,2.975,-0.499,-0.4,-0.172,0.739,-0.567
1084,0.872,0.755,-1.324,0.616,0.619,-0.378,0.739,-0.567
1085,-0.315,0.755,2.167,-0.499,-0.4,-0.416,-1.349,-0.567
1086,-0.315,0.755,-1.571,-0.499,1.638,-0.056,0.739,-0.567
1087,0.872,0.755,0.192,-0.499,-0.4,-0.497,0.739,-0.567
1088,-1.503,0.755,-1.712,-0.499,1.638,1.769,-1.349,1.758
1089,0.872,-1.321,-0.865,-0.499,-0.4,-0.498,0.739,-0.567
1090,-0.315,0.755,-0.513,-0.499,-0.4,-0.449,0.739,-0.567
1091,0.872,-1.321,-1.027,-0.499,-0.4,-0.492,0.739,-0.567
1092,0.872,-1.321,-0.122,-0.499,-0.4,-0.36,-1.349,-0.567
1093,0.872,0.755,-2.111,-0.499,1.638,-0.38,0.739,-0.567
1094,-1.503,0.755,1.18,0.616,-0.4,3.432,-1.349,1.758
1095,-0.315,-1.321,-1.571,0.616,0.619,-0.172,0.739,-0.567
1096,-0.315,0.755,-0.372,-0.499,-0.4,-0.449,0.739,-0.567
1097,-1.503,0.755,0.416,-0.499,-0.4,-0.177,-1.349,1.758
1098,0.872,-1.321,0.333,-0.499,-0.4,-0.499,-1.349,-0.567
1099,-0.315,0.755,-0.442,-0.499,-0.4,-0.449,0.739,-0.567
1100,-1.503,-1.321,0.192,-0.499,-0.4,-0.141,-1.349,1.758
1101,0.872,0.755,-0.372,-0.499,-0.4,-0.496,0.739,-0.567
1102,0.872,0.755,0.122,-0.499,-0.4,-0.234,0.739,-0.567
1103,0.872,0.755,-0.545,-0.499,-0.4,-0.511,0.739,-0.567
1104,-0.315,0.755,-0.936,-0.499,-0.4,0.677,0.739,-0.567
1105,-0.315,-1.321,2.096,0.616,-0.4,-0.172,0.739,-0.567
1106,0.872,-1.321,0.545,3.962,1.638,-0.498,0.739,-0.567
1107,-1.503,0.755,0.827,-0.499,-0.4,0.123,0.739,-0.567
1108,0.872,-1.321,-0.215,-0.499,-0.4,-0.496,-1.349,-0.567
1109,-1.503,0.755,1.885,0.616,0.619,2.312,0.739,-0.567
1110,-1.503,-1.321,1.391,0.616,0.619,3.146,-1.349,1.758
1111,0.872,0.755,-0.568,-0.499,-0.4,-0.493,0.739,-0.567
1112,-0.315,-1.321,-0.019,0.616,-0.4,-0.389,-1.349,1.758
1113,0.872,0.755,-0.654,-0.499,-0.4,-0.493,0.739,-0.567
1114,-0.315,-1.321,-0.583,-0.499,-0.4,-0.449,0.739,-0.567
1115,0.872,0.755,-0.654,-0.499,-0.4,-0.498,0.739,-0.567
1116,-1.503,-1.321,1.603,-0.499,-0.4,-0.146,-1.349,1.758
1117,0.872,-1.321,-0.541,-0.499,1.638,-0.365,-1.349,1.758
1118,0.872,0.755,-0.513,-0.499,-0.4,-0.498,0.739,-0.567
1119,0.872,-1.321,-0.34,-0.499,-0.4,-0.499,-1.349,-0.567
1120,0.872,0.755,0.721,-0.499,-0.4,-0.367,0.739,-0.567
1121,-0.315,0.755,0.404,-0.499,-0.4,-0.405,0.739,-0.567
1122,-0.315,0.755,-1.147,-0.499,-0.4,0.525,0.739,-0.567
1123,-1.503,-1.321,-0.654,-0.499,-0.4,-0.162,0.739,-0.567
1124,0.872,0.755,-0.654,0.616,-0.4,-0.521,0.739,-0.567
1125,0.872,0.755,-1.88,-0.499,-0.4,-0.496,-1.349,-0.567
1126,-1.503,0.755,0.615,0.616,-0.4,0.638,-1.349,1.758
1127,0.872,0.755,-0.724,-0.499,-0.4,-0.497,0.739,-0.567
1128,-1.503,0.755,2.378,0.616,-0.4,0.709,-1.349,1.758
1129,0.872,0.755,-0.724,-0.499,-0.4,-0.508,-1.349,1.758
1130,-0.315,-1.321,-0.865,0.616,0.619,-0.405,0.739,-0.567
1131,-1.503,-1.321,1.25,0.616,-0.4,1.266,-1.349,1.758
1132,-1.503,-1.321,1.744,-0.499,-0.4,-0.141,-1.349,1.758
1133,-0.315,-1.321,1.039,-0.499,1.638,-0.101,0.739,-0.567
1134,-1.503,0.755,1.039,0.616,0.619,1.769,-1.349,1.758
1135,0.872,0.755,0.723,-0.499,-0.4,-0.496,0.739,-0.567
1136,0.872,0.755,0.579,0.616,1.638,-0.218,0.739,-0.567
1137,-1.503,0.755,0.756,0.616,-0.4,0.29,0.739,-0.567
1138,-0.315,-1.321,-0.583,-0.499,-0.4,-0.262,0.739,-0.567
1139,-0.315,0.755,0.827,0.616,0.619,-0.056,0.739,-0.567
1140,-0.315,-1.321,-0.09,0.616,-0.4,-0.172,0.739,-0.567
1141,0.872,-1.321,-0.501,0.616,-0.4,-0.379,-1.349,1.758
1142,-0.315,-1.321,-2.07,0.616,1.638,-0.141,0.739,-0.567
1143,0.872,0.755,-0.724,-0.499,-0.4,-0.495,0.739,-0.567
1144,-1.503,0.755,-0.231,0.616,-0.4,1.809,-1.349,1.758
1145,0.872,0.755,-0.442,-0.499,-0.4,-0.47,0.739,-0.567
1146,0.872,0.755,0.157,-0.499,-0.4,-0.467,0.739,-0.567
1147,0.872,0.755,-0.134,-0.499,-0.4,-0.502,0.739,-0.567
1148,0.872,0.755,-0.187,-0.499,-0.4,-0.499,-1.349,-0.567
1149,0.872,0.755,-0.16,-0.499,-0.4,-0.493,0.739,-0.567
1150,-0.315,-1.321,-0.795,-0.499,-0.4,-0.405,0.739,-0.567
1151,0.872,0.755,-0.654,-0.499,-0.4,-0.498,0.739,-0.567
1152,0.872,0.755,0.439,0.616,-0.4,-0.326,0.739,-0.567
1153,0.872,0.755,-0.654,-0.499,-0.4,-0.497,0.739,-0.567
1154,-0.315,-1.321,-0.09,-0.499,1.638,-0.226,0.739,-0.567
1155,0.872,-1.321,-2.064,0.616,0.619,-0.419,0.739,-0.567
1156,-0.315,0.755,-0.019,-0.499,-0.4,-0.409,-1.349,1.758
1157,0.872,0.755,0.164,-0.499,-0.4,-0.496,0.739,-0.567
1158,-1.503,0.755,0.338,-0.499,-0.4,-0.637,0.739,-0.567
1159,0.872,0.755,-0.963,-0.499,-0.4,-0.502,0.739,-0.567
1160,0.872,-1.321,-1.233,-0.499,-0.4,-0.493,0.739,-0.567
1161,0.872,0.755,-0.936,-0.499,-0.4,-0.482,0.739,-0.567
1162,-1.503,0.755,1.109,-0.499,-0.4,0.709,-1.349,1.758
1163,0.872,0.755,0.382,-0.499,-0.4,-0.499,-1.349,-0.567
1164,-1.503,-1.321,-0.301,0.616,-0.4,1.809,-1.349,1.758
1165,0.872,-1.321,-0.529,0.616,-0.4,-0.36,-1.349,-0.567
1166,0.872,0.755,0.006,-0.499,-0.4,-0.508,-1.349,1.758
1167,-0.315,-1.321,-0.724,0.616,-0.4,-0.172,0.739,-0.567
1168,-0.315,0.755,-0.16,-0.499,-0.4,-0.449,0.739,-0.567
1169,-0.315,0.755,0.686,0.616,-0.4,-0.172,0.739,-0.567
1170,-0.315,0.755,-0.019,0.616,-0.4,-0.262,0.739,-0.567
1171,-0.315,0.755,-0.583,-0.499,-0.4,-0.449,0.739,-0.567
1172,0.872,-1.321,-0.513,-0.499,-0.4,-0.482,0.739,-0.567
1173,0.872,0.755,-2.082,0.616,0.619,-0.391,0.739,-0.567
1174,0.872,-1.321,0.525,-0.499,-0.4,-0.499,-1.349,-0.567
1175,0.872,-1.321,-1.5,0.616,0.619,-0.365,-1.349,1.758
1176,0.872,-1.321,-1.994,0.616,0.619,-0.276,0.739,-0.567
1177,0.872,0.755,0.404,-0.499,-0.4,-0.508,0.739,-0.567
1178,0.872,0.755,1.332,-0.499,-0.4,-0.508,0.739,-0.567
1179,-1.503,0.755,-0.442,0.616,-0.4,0.834,0.739,-0.567
1180,0.872,0.755,0.616,-0.499,-0.4,-0.508,-1.349,1.758
1181,0.872,0.755,0.325,-0.499,-0.4,-0.493,0.739,-0.567
1182,-1.503,0.755,1.018,-0.499,-0.4,0.071,0.739,-0.567
1183,0.872,-1.321,-0.019,-0.499,-0.4,-0.513,-1.349,-0.567
1184,0.872,0.755,-0.506,-0.499,-0.4,-0.508,-1.349,1.758
1185,-1.503,0.755,1.603,0.616,0.619,0.827,0.739,-0.567
1186,0.872,0.755,0.404,-0.499,-0.4,-0.467,0.739,-0.567
1187,0.872,0.755,-0.301,-0.499,-0.4,-0.496,0.739,-0.567
1188,-0.315,-1.321,-2.064,0.616,1.638,0.106,-1.349,1.758
1189,0.872,0.755,-1.03,1.731,-0.4,-0.249,-1.349,1.758
1190,-1.503,0.755,-0.019,-0.499,-0.4,0.177,0.739,-0.567
1191,0.872,0.755,-0.09,-0.499,-0.4,-0.497,0.739,-0.567
1192,0.872,0.755,0.122,-0.499,-0.4,-0.498,0.739,-0.567
1193,-0.315,0.755,1.028,-0.499,-0.4,-0.368,-1.349,1.758
1194,-0.315,0.755,0.897,-0.499,0.619,-0.262,0.739,-0.567
1195,0.872,0.755,-0.442,-0.499,-0.4,-0.482,0.739,-0.567
1196,0.872,-1.321,-0.709,-0.499,-0.4,-0.499,-1.349,-0.567
1197,-1.503,-1.321,2.378,0.616,0.619,-0.162,0.739,-0.567
1198,-1.503,0.755,-0.019,0.616,1.638,2.073,0.739,-0.567
1199,0.872,0.755,-2.076,-0.499,0.619,-0.47,0.739,-0.567
1200,-1.503,0.755,1.744,0.616,0.619,1.035,0.739,-0.567
1201,0.872,-1.321,1.039,0.616,-0.4,-0.385,0.739,-0.567
1202,0.872,0.755,-0.865,-0.499,-0.4,-0.482,0.739,-0.567
1203,0.872,0.755,-0.583,-0.499,-0.4,-0.508,-1.349,1.758
1204,0.872,0.755,-0.751,-0.499,-0.4,-0.502,0.739,-0.567
1205,0.872,-1.321,0.474,-0.499,-0.4,-0.499,-1.349,-0.567
1206,-1.503,-1.321,1.744,-0.499,-0.4,1.789,-1.349,1.758
1207,0.872,-1.321,-0.936,-0.499,-0.4,-0.499,-1.349,-0.567
1208,-1.503,0.755,1.885,0.616,-0.4,1.984,-1.349,1.758
1209,-0.315,0.755,-0.795,-0.499,-0.4,-0.449,0.739,-0.567
1210,0.872,0.755,-0.231,-0.499,-0.4,-0.497,0.739,-0.567
1211,-0.315,0.755,-0.583,1.731,-0.4,-0.074,0.739,-0.567
1212,0.872,0.755,-0.301,-0.499,-0.4,-0.498,0.739,-0.567
1213,0.872,0.755,-0.372,-0.499,-0.4,-0.508,-1.349,1.758
1214,-0.315,0.755,-0.301,-0.499,-0.4,-0.405,0.739,-0.567
1215,-1.503,0.755,0.192,-0.499,-0.4,-0.162,0.739,-0.567
1216,-1.503,-1.321,0.615,-0.499,-0.4,3.143,0.739,-0.567
1217,0.872,0.755,-0.513,-0.499,-0.4,-0.511,0.739,-0.567
1218,-0.315,-1.321,-1.289,1.731,0.619,0.06,0.739,-0.567
1219,-1.503,0.755,1.109,-0.499,-0.4,0.779,-1.349,1.758
1220,-0.315,0.755,-0.09,0.616,-0.4,-0.172,0.739,-0.567
1221,-0.315,0.755,-0.654,-0.499,-0.4,-0.405,0.739,-0.567
1222,-0.315,-1.321,1.25,-0.499,1.638,0.02,0.739,-0.567
1223,-1.503,0.755,0.615,-0.499,-0.4,-0.106,-1.349,1.758
1224,0.872,0.755,-1.865,-0.499,-0.4,-0.508,-1.349,1.758
1225,0.872,-1.321,-0.795,0.616,0.619,-0.356,-1.349,1.758
1226,0.872,0.755,-0.231,-0.499,-0.4,-0.496,0.739,-0.567
1227,-1.503,0.755,-0.019,-0.499,-0.4,-0.172,0.739,-0.567
1228,-0.315,0.755,0.122,-0.499,-0.4,-0.405,0.739,-0.567
1229,0.872,0.755,0.615,-0.499,1.638,-0.508,-1.349,1.758
1230,-0.315,0.755,-0.372,-0.499,-0.4,-0.074,0.739,-0.567
1231,0.872,0.755,-2.315,-0.499,-0.4,-0.508,-1.349,1.758
1232,-0.315,0.755,-0.865,-0.499,-0.4,-0.449,0.739,-0.567
1233,0.872,0.755,0.122,-0.499,-0.4,-0.502,0.739,-0.567
1234,0.872,0.755,-1.659,0.616,8.771,0.607,0.739,-0.567
1235,-1.503,-1.321,1.955,-0.499,0.619,8.527,-1.349,1.758
1236,0.872,0.755,-0.988,0.616,0.619,-0.378,0.739,-0.567
1237,0.872,-1.321,-1.006,-0.499,-0.4,-0.5,0.739,-0.567
1238,-0.315,0.755,-0.301,-0.499,-0.4,-0.405,0.739,-0.567
1239,0.872,-1.321,0.545,-0.499,-0.4,-0.508,-1.349,1.758
1240,-0.315,0.755,-0.442,-0.499,-0.4,-0.396,0.739,-0.567
1241,-0.315,-1.321,0.051,-0.499,-0.4,-0.262,0.739,-0.567
1242,-1.503,-1.321,1.039,-0.499,0.619,0.496,-1.349,1.758
1243,-0.315,0.755,-0.372,-0.499,-0.4,-0.449,0.739,-0.567
